,County_name,State_name,Tot_Population_CEN_2010,state,county,tract
398,San Diego County,California,1860,06,073,016613
399,San Diego County,California,3912,06,073,016614
400,San Diego County,California,3059,06,073,016615
401,San Diego County,California,4067,06,073,016616
402,San Diego County,California,3102,06,073,016617
403,San Diego County,California,8666,06,073,016701
404,San Diego County,California,6944,06,073,016702
405,San Diego County,California,6942,06,073,016802
406,San Diego County,California,7292,06,073,016804
407,San Diego County,California,4081,06,073,016806
408,San Diego County,California,7135,06,073,016807
409,San Diego County,California,5486,06,073,016809
410,San Diego County,California,2792,06,073,016810
411,San Diego County,California,4374,06,073,016811
412,San Diego County,California,6909,06,073,016901
413,San Diego County,California,2341,06,073,016902
414,San Diego County,California,2876,06,073,017006
415,San Diego County,California,4024,06,073,017009
416,San Diego County,California,3152,06,073,017010
417,San Diego County,California,2416,06,073,017014
418,San Diego County,California,7295,06,073,017015
419,San Diego County,California,3834,06,073,017018
420,San Diego County,California,5883,06,073,017019
421,San Diego County,California,3694,06,073,017020
422,San Diego County,California,3177,06,073,017021
423,San Diego County,California,5316,06,073,017022
424,San Diego County,California,8823,06,073,017029
425,San Diego County,California,17064,06,073,017030
426,San Diego County,California,3853,06,073,017031
427,San Diego County,California,13593,06,073,017032
428,San Diego County,California,4694,06,073,017033
429,San Diego County,California,4747,06,073,017034
430,San Diego County,California,2354,06,073,017035
431,San Diego County,California,3276,06,073,017036
432,San Diego County,California,5880,06,073,017037
433,San Diego County,California,6921,06,073,017039
434,San Diego County,California,4363,06,073,017040
435,San Diego County,California,6147,06,073,017041
436,San Diego County,California,7869,06,073,017042
437,San Diego County,California,5535,06,073,017043
438,San Diego County,California,5570,06,073,017044
439,San Diego County,California,2790,06,073,017045
440,San Diego County,California,3678,06,073,017046
441,San Diego County,California,4021,06,073,017047
442,San Diego County,California,6123,06,073,017048
443,San Diego County,California,2919,06,073,017049
444,San Diego County,California,3068,06,073,017050
445,San Diego County,California,4301,06,073,017051
446,San Diego County,California,4796,06,073,017052
447,San Diego County,California,3364,06,073,017053
448,San Diego County,California,5810,06,073,017054
449,San Diego County,California,5483,06,073,017055
450,San Diego County,California,4144,06,073,017056
451,San Diego County,California,3907,06,073,017104
452,San Diego County,California,4973,06,073,017106
453,San Diego County,California,2871,06,073,017107
454,San Diego County,California,4658,06,073,017108
455,San Diego County,California,6650,06,073,017109
456,San Diego County,California,10622,06,073,017110
457,San Diego County,California,4146,06,073,017200
458,San Diego County,California,3018,06,073,017303
459,San Diego County,California,5508,06,073,017304
460,San Diego County,California,2969,06,073,017305
461,San Diego County,California,2818,06,073,017306
462,San Diego County,California,5355,06,073,017401
463,San Diego County,California,4922,06,073,017403
464,San Diego County,California,6338,06,073,017404
465,San Diego County,California,2769,06,073,017501
466,San Diego County,California,3641,06,073,017502
467,San Diego County,California,4941,06,073,017601
468,San Diego County,California,2476,06,073,017603
469,San Diego County,California,7040,06,073,017604
470,San Diego County,California,5275,06,073,017701
471,San Diego County,California,2777,06,073,017702
472,San Diego County,California,6539,06,073,017801
473,San Diego County,California,5975,06,073,017808
474,San Diego County,California,2293,06,073,017809
475,San Diego County,California,4942,06,073,017810
476,San Diego County,California,6355,06,073,017811
477,San Diego County,California,4106,06,073,017813
478,San Diego County,California,6958,06,073,017900
479,San Diego County,California,3711,06,073,018000
480,San Diego County,California,5659,06,073,018100
481,San Diego County,California,6847,06,073,018200
482,San Diego County,California,2166,06,073,018300
483,San Diego County,California,3566,06,073,018400
484,San Diego County,California,6631,06,073,018504
485,San Diego County,California,9097,06,073,018507
486,San Diego County,California,4968,06,073,018509
487,San Diego County,California,2975,06,073,018510
488,San Diego County,California,5003,06,073,018511
489,San Diego County,California,3397,06,073,018512
490,San Diego County,California,9081,06,073,018513
491,San Diego County,California,7947,06,073,018514
492,San Diego County,California,4494,06,073,018515
493,San Diego County,California,3992,06,073,018516
494,San Diego County,California,4127,06,073,018517
495,San Diego County,California,3175,06,073,018518
496,San Diego County,California,5891,06,073,018519
497,San Diego County,California,4779,06,073,018601
498,San Diego County,California,6810,06,073,018603
499,San Diego County,California,3175,06,073,018608
500,San Diego County,California,6133,06,073,018609
501,San Diego County,California,7635,06,073,018610
502,San Diego County,California,8052,06,073,018611
503,San Diego County,California,3331,06,073,018612
504,San Diego County,California,3477,06,073,018613
505,San Diego County,California,6494,06,073,018614
506,San Diego County,California,37452,06,073,018700
507,San Diego County,California,3614,06,073,018801
508,San Diego County,California,8122,06,073,018802
509,San Diego County,California,4564,06,073,018803
510,San Diego County,California,4861,06,073,018903
511,San Diego County,California,5640,06,073,018904
512,San Diego County,California,6765,06,073,018905
513,San Diego County,California,6033,06,073,018906
514,San Diego County,California,5946,06,073,019001
515,San Diego County,California,1759,06,073,019002
516,San Diego County,California,7458,06,073,019101
517,San Diego County,California,6373,06,073,019103
518,San Diego County,California,5722,06,073,019105
519,San Diego County,California,9131,06,073,019106
520,San Diego County,California,2104,06,073,019107
521,San Diego County,California,2866,06,073,019203
522,San Diego County,California,6163,06,073,019205
523,San Diego County,California,5614,06,073,019206
524,San Diego County,California,8416,06,073,019207
525,San Diego County,California,3305,06,073,019208
526,San Diego County,California,6936,06,073,019301
527,San Diego County,California,7344,06,073,019302
528,San Diego County,California,6538,06,073,019303
529,San Diego County,California,5255,06,073,019403
530,San Diego County,California,3984,06,073,019404
531,San Diego County,California,3592,06,073,019405
532,San Diego County,California,4628,06,073,019406
533,San Diego County,California,4147,06,073,019501
534,San Diego County,California,5715,06,073,019502
535,San Diego County,California,4795,06,073,019503
536,San Diego County,California,6291,06,073,019601
537,San Diego County,California,5464,06,073,019602
538,San Diego County,California,6022,06,073,019701
539,San Diego County,California,4933,06,073,019702
540,San Diego County,California,4465,06,073,019803
541,San Diego County,California,4447,06,073,019804
542,San Diego County,California,3763,06,073,019805
543,San Diego County,California,11116,06,073,019806
544,San Diego County,California,4321,06,073,019808
545,San Diego County,California,4005,06,073,019809
546,San Diego County,California,4078,06,073,019902
547,San Diego County,California,4371,06,073,019903
548,San Diego County,California,6538,06,073,019904
549,San Diego County,California,4256,06,073,019905
550,San Diego County,California,12473,06,073,020013
551,San Diego County,California,7006,06,073,020014
552,San Diego County,California,3841,06,073,020015
553,San Diego County,California,9314,06,073,020016
554,San Diego County,California,3282,06,073,020017
555,San Diego County,California,7708,06,073,020018
556,San Diego County,California,6832,06,073,020019
557,San Diego County,California,7477,06,073,020020
558,San Diego County,California,6423,06,073,020021
559,San Diego County,California,7404,06,073,020022
560,San Diego County,California,3941,06,073,020023
561,San Diego County,California,4175,06,073,020024
562,San Diego County,California,4626,06,073,020025
563,San Diego County,California,4089,06,073,020026
564,San Diego County,California,13665,06,073,020027
565,San Diego County,California,3479,06,073,020028
566,San Diego County,California,4819,06,073,020029
567,San Diego County,California,10235,06,073,020103
568,San Diego County,California,3801,06,073,020105
569,San Diego County,California,3803,06,073,020106
570,San Diego County,California,3837,06,073,020107
571,San Diego County,California,5813,06,073,020108
572,San Diego County,California,5127,06,073,020109
573,San Diego County,California,6689,06,073,020202
574,San Diego County,California,5217,06,073,020206
575,San Diego County,California,4765,06,073,020207
576,San Diego County,California,2501,06,073,020208
577,San Diego County,California,4748,06,073,020209
578,San Diego County,California,4639,06,073,020210
579,San Diego County,California,6702,06,073,020211
580,San Diego County,California,4028,06,073,020213
581,San Diego County,California,5143,06,073,020214
